title,year,letterboxd_rating,box_office,imdb_rating,genre,director,plot,runtime,country,is_underperformer,box_office_millions,rating_differential
Portrait of a Lady on Fire,2019,4.5,3759854,8.0,"Drama, Romance",Céline Sciamma,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",122 min,France,True,3.76,-3.5
The Handmaiden,2016,4.4,2006788,8.1,"Drama, Romance, Thriller",Park Chan-wook,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...",145 min,South Korea,True,2.01,-3.6999999999999993
Her,2013,4.3,25568251,8.0,"Drama, Romance, Sci-Fi",Spike Jonze,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",126 min,United States,True,25.57,-3.7
Moonlight,2016,4.3,27854932,7.4,Drama,Barry Jenkins,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111 min,United States,True,27.85,-3.1000000000000005
The Lighthouse,2019,4.2,10867104,7.4,"Drama, Fantasy, Horror",Robert Eggers,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,109 min,"Canada, United States",True,10.87,-3.2
Columbus,2017,4.2,1017107,7.2,Drama,Kogonada,"A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.",100 min,United States,True,1.02,-3.0
Phantom Thread,2017,4.2,21198205,7.4,"Drama, Romance",Paul Thomas Anderson,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",130 min,"United States, China",True,21.2,-3.2
Arrival,2016,4.2,100546139,7.9,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi...",116 min,"United States, Canada",False,100.55,-3.7
The Master,2012,4.1,16377274,7.1,Drama,Paul Thomas Anderson,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by a cult and its charismatic leader.,138 min,United States,True,16.38,-3.0
Paterson,2016,4.1,2152738,7.3,"Comedy, Drama, Romance",Jim Jarmusch,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",118 min,"France, Germany, United States",True,2.15,-3.2
First Reformed,2017,4.1,3448256,7.1,"Drama, Mystery, Thriller",Paul Schrader,"A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",113 min,"United States, United Kingdom, Australia",True,3.45,-3.0
Enemy,2013,4.0,1008726,6.9,"Drama, Mystery, Thriller",Denis Villeneuve,A mild-mannered college professor investigates the life of an actor who looks exactly like him.,91 min,"Canada, Spain, France",True,1.01,-2.9000000000000004
Under the Skin,2013,4.0,2614251,6.3,"Drama, Horror, Mystery",Jonathan Glazer,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",108 min,"United Kingdom, Switzerland, United States",True,2.61,-2.3
Swiss Army Man,2016,4.0,4210454,6.9,"Comedy, Drama, Fantasy","Daniel Kwan, Daniel Scheinert","A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",97 min,United States,True,4.21,-2.9000000000000004
The Lobster,2015,4.0,9077245,7.1,"Drama, Romance, Sci-Fi",Yorgos Lanthimos,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",119 min,"Ireland, United Kingdom, Greece, France, Netherlands, United States, Belgium",True,9.08,-3.0999999999999996
Good Time,2017,4.0,2026499,7.3,"Crime, Drama, Thriller","Benny Safdie, Josh Safdie","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",102 min,United States,True,2.03,-3.3
The Killing of a Sacred Deer,2017,4.0,2291901,7.0,"Drama, Horror, Mystery",Yorgos Lanthimos,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",121 min,"Ireland, United Kingdom, United States",True,2.29,-3.0
A Ghost Story,2017,4.0,1596371,6.8,"Drama, Fantasy, Mystery",David Lowery,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",92 min,United States,True,1.6,-2.8
Silence,2016,4.0,7100177,7.2,"Drama, History",Martin Scorsese,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161 min,"United States, United Kingdom, Italy, Taiwan, Mexico, Japan",True,7.1,-3.2
Annihilation,2018,4.0,32732301,6.8,"Adventure, Drama, Horror",Alex Garland,"A biologist signs up for a dangerous, secret expedition in which the laws of nature don't apply.",115 min,"United States, United Kingdom",True,32.73,-2.8
